Nama Connector,Name,COnnector or Not,Gender,Following,Follower,Total Tweet,Pekerjaan,Career_Group
homywardrobe,,0,F,682,842,2911,,
hitsssdotcom,,0,M,102,2786,10208,,
hihngo,,0,M,915,1542,2779,,
heyiqbal,,0,M,526,403,4686,,
heyairin,,0,F,162,193,10075,,
herri_k_sulam,,0,M,239,249,3639,,
henryrs,,0,M,1046,4373,14722,,
hellogulo,,0,M,177,4042,7672,,
heditya55,,0,M,6,287,9069,,
harjonohalim,,0,M,63,369,2710,,
hannaconnia,,0,F,266,59,10363,,
hamdiirza,,0,M,328,384,20529,,
habilionaire,,0,M,208,186,2906,,
grenatalou,,0,F,325,1090,14480,,
graciaparamitha,,0,F,1142,4015,8774,,
georgialydia,,0,F,139,409,4154,,
freddyhaiyun,,0,M,177,361,6502,,
florian_daliana,,0,F,160,230,83,,
firafitrananda,,0,F,433,1118,19940,,
finahafizh,,0,F,112,199,661,,
ferryg1,,0,M,1326,373,9501,,
ferdiankelana,,0,M,1265,1464,17609,,
fendyss,,0,M,388,195,10204,,
fauziaharishima,,0,F,543,430,15390,,
fanyvnedti,,0,F,117,16,140,,
faicalknows,,0,M,249,25,3284,,
eufselvani,,0,F,262,192,5420,,
erricadewi,,0,F,1075,701,746,,
erly_kawaii,,0,F,451,383,17867,,
erlitamutia,,0,F,557,601,15094,,
eobbher,,0,M,248,3011,20294,,
endramarsudi,,0,M,465,609,2355,,
elsiany,,0,F,291,168,12573,,
eldinaeld_,,0,M,346,502,14484,,
eargasm86,,0,M,140,22,2210,,
dyahayuamallia,,0,F,345,373,11222,,
dwikymhndr,,0,M,891,773,17337,,
donipriliandi,,0,M,2974,4432,25884,,
dikakid,,0,M,366,598,27185,,
diah_setiawaty,,0,F,261,677,9685,,
devyoktav,,0,F,335,477,9571,,
deslina_w,,0,F,655,300,5747,,
dearezkitha,,0,F,147,547,16935,,
chrissubhan,,0,M,264,268,6418,,
buncita,,0,F,446,356,4299,,
bukasedikit,,0,M,1043,699,10442,,
bouncingpandaa,,0,M,905,198,4771,,
borieess23,,0,M,873,73,612,,
bijakfputranto,,0,M,678,842,14947,,
becurly,,0,M,398,409,11909,,
batharagana,,0,M,469,493,33765,,
basnugroho,,0,M,366,1602,2946,,
ayoede,,0,F,510,189,8920,,
auditriharsono,,0,M,399,327,4028,,
athasumampouw,,0,F,276,238,2693,,
aryreeza,,0,M,572,393,9242,,
